floor,kitchen_area,living_area,rooms,is_apartment,studio,total_area,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator,target
9,9.899999618530272,19.89999961853028,1,0,0,35.099998474121094,1965,6,55.71711349487305,37.78112030029297,2.640000104904175,84,12,1,9500000
7,0.0,16.600000381469727,1,0,0,43.0,2001,2,55.79484939575195,37.60801315307617,3.0,97,10,1,13500000
9,9.0,32.0,2,0,0,56.0,2000,4,55.74003982543945,37.7617416381836,2.700000047683716,80,10,1,13500000
3,3.0,14.0,1,0,0,24.0,1971,1,55.80880737304688,37.707305908203125,2.5999999046325684,208,9,1,5200000
9,0.0,0.0,2,0,0,51.0099983215332,2017,4,55.724727630615234,37.74306869506836,2.700000047683716,192,17,1,8490104
1,6.179999828338623,29.34000015258789,2,0,0,44.52000045776367,1964,4,55.79558944702149,37.72262191772461,2.640000104904175,180,5,0,9500000
7,13.5,0.0,1,0,0,52.0,2015,2,55.65634536743164,37.42433547973633,3.0,512,11,1,17990000
7,8.180000305175781,19.100000381469727,1,0,0,35.91999816894531,1982,4,55.57473373413086,37.66868591308594,2.640000104904175,127,16,1,6300000
5,8.0,30.0,2,0,0,50.0,1982,4,55.99469757080078,37.196685791015625,2.640000104904175,142,12,1,5900000
3,13.199999809265137,33.70000076293945,2,0,0,60.29999923706055,2015,4,55.70142364501953,37.93003463745117,2.740000009536743,320,17,1,10400000
1,5.199999809265137,28.600000381469727,2,0,0,43.900001525878906,1961,1,55.80890274047852,37.65300369262695,2.4800000190734863,80,5,0,7490000
5,6.0,38.20000076293945,3,0,0,58.5,1969,4,55.88516616821289,37.66230773925781,2.640000104904175,279,9,1,14250000
8,8.0,19.0,1,0,0,37.5,2000,4,55.7523078918457,37.71442794799805,2.740000009536743,222,17,1,12990000
13,11.899999618530272,20.89999961853028,1,0,0,38.900001525878906,2004,4,55.5886344909668,37.671268463134766,2.700000047683716,250,16,1,8900000
11,8.5,19.0,1,0,0,36.900001525878906,1999,4,55.85673141479492,37.564247131347656,2.640000104904175,135,17,1,10900000
11,9.199999809265137,31.799999237060547,2,0,0,54.0,2008,4,55.501739501953125,37.58062362670898,2.640000104904175,156,14,1,7680000
16,8.199999809265137,19.100000381469727,1,0,0,37.70000076293945,1982,4,55.883296966552734,37.48654556274414,2.640000104904175,255,16,1,5970000
3,10.0,45.0,3,0,0,73.0,1987,4,55.6279182434082,37.51202774047852,2.640000104904175,327,17,1,17300000
4,8.579999923706055,30.350000381469727,2,0,0,52.09000015258789,1983,4,55.86207962036133,37.59672164916992,2.640000104904175,238,12,1,10900000
8,12.899999618530272,33.20000076293945,2,0,0,59.0,2007,4,55.80355453491211,37.813602447509766,2.740000009536743,64,17,1,16300000
1,9.0,32.0,2,0,0,56.0,1984,4,55.76321029663086,37.41058349609375,2.640000104904175,542,17,1,14000000
2,9.0,14.0,1,0,0,37.0,1998,4,55.53181838989258,37.51689910888672,2.640000104904175,318,10,1,9000000
6,8.7,33.2,2,0,0,56.1,2006,1,55.78324508666992,37.66888427734375,3.0,158,7,1,15400000
1,8.520000457763672,30.34000015258789,2,0,0,51.84000015258789,1975,4,55.88949203491211,37.59762191772461,2.640000104904175,230,12,1,12500000
7,14.5,23.0,2,0,0,48.5,2016,3,55.569942474365234,37.48762130737305,3.0,297,12,1,10990000
2,9.0,15.0,1,0,0,36.0,2001,4,55.54662322998047,37.52938461303711,2.640000104904175,102,14,1,5499000
7,9.0,32.0,2,0,0,53.59999847412109,2002,4,55.546016693115234,37.53932189941406,2.640000104904175,387,14,1,7590000
16,12.5,25.0,1,0,0,55.29999923706055,2010,4,55.647090911865234,37.503074645996094,2.700000047683716,416,16,1,15600000
2,6.0,35.0,3,0,0,57.0,1968,1,55.63606643676758,37.663082122802734,2.640000104904175,214,9,1,8550000
6,6.400000095367432,21.0,1,0,0,34.400001525878906,1976,4,55.87042999267578,37.59560775756836,2.640000104904175,139,9,1,6400000
10,9.600000381469728,19.5,1,0,0,34.5,1978,6,55.7475700378418,37.70297622680664,2.4800000190734863,111,16,1,9100000
12,8.600000381469727,19.100000381469727,1,0,0,38.900001525878906,1980,4,55.8917350769043,37.5812873840332,2.640000104904175,446,16,1,7700000
7,6.5,21.0,1,0,0,36.0,1970,4,55.8257942199707,37.82318878173828,2.640000104904175,212,9,1,5600000
2,6.0,42.0,3,0,0,59.0,1970,4,55.67362976074219,37.7212028503418,2.640000104904175,212,9,1,8700000
5,5.800000190734863,19.0,1,0,0,31.39999961853028,1961,1,55.89414596557617,37.53007507324219,2.5999999046325684,60,5,0,6600000
